ID,Title,Type,Lat,Long,Location
422,Forn Sagor om Ketill Häng, Grim Ludenkind och Pile Odder,Source,59.35,18.066667,Stockholm
422,Forn Sagor om Ketill Häng, Grim Ludenkind och Pile Odder,Destination,59.32893,18.06491,Stockholm
423,Brate, Erik - Översättning av Ingvar Vittfavnes Saga,Source,59.35,18.066667,Stockholm
423,Brate, Erik - Översättning av Ingvar Vittfavnes Saga,Destination,59.32893,18.06491,Stockholm
424,Rål. 4to nr 43,Source,59.858611,17.638889,Uppsala
424,Rål. 4to nr 43,Destination,59.32893,18.06491,Stockholm
425,Rask 21 a,Source,55.675,12.5687,Copenhagen
425,Rask 21 a,Destination,55.676097,12.568337,Copenhagen
426,Rask 30,Source,55.675,12.5687,Copenhagen
426,Rask 30,Destination,55.676097,12.568337,Copenhagen
427,Rask 31,Source,65.125476,-22.188107,Staðarfell
427,Rask 31,Destination,55.676097,12.568337,Copenhagen
428,Rask 32,Source,65.125476,-22.188107,Staðarfell
428,Rask 32,Destination,55.676097,12.568337,Copenhagen
429,Rask 35,Source,55.675,12.5687,Copenhagen
429,Rask 35,Destination,55.676097,12.568337,Copenhagen
430,Rask 38,Source,55.675,12.5687,Copenhagen
430,Rask 38,Destination,55.676097,12.568337,Copenhagen
431,Rask 53,Source,55.675,12.5687,Copenhagen
431,Rask 53,Destination,55.676097,12.568337,Copenhagen
432,Säfstaholmssamlingen I Papp. 10,Source,59.35,18.066667,Stockholm
432,Säfstaholmssamlingen I Papp. 10,Destination,59.32893,18.06491,Stockholm
433,Säfstaholmssamlingen I Papp. 11,Source,59.35,18.066667,Stockholm
433,Säfstaholmssamlingen I Papp. 11,Destination,59.32893,18.06491,Stockholm
434,Säfstaholmssamlingen I Papp. 12,Source,59.35,18.066667,Stockholm
434,Säfstaholmssamlingen I Papp. 12,Destination,59.32893,18.06491,Stockholm
435,Säfstaholmssamlingen I Papp. 13,Source,59.35,18.066667,Stockholm
435,Säfstaholmssamlingen I Papp. 13,Destination,59.32893,18.06491,Stockholm
436,Säfstaholmssamlingen I Papp. 3,Source,59.35,18.066667,Stockholm
436,Säfstaholmssamlingen I Papp. 3,Destination,59.32893,18.06491,Stockholm
437,Säfstaholmssamlingen I Papp. 6,Source,59.35,18.066667,Stockholm
437,Säfstaholmssamlingen I Papp. 6,Destination,59.32893,18.06491,Stockholm
438,Thott 1750 4to,Source,55.675,12.5687,Copenhagen
438,Thott 1750 4to,Destination,55.676097,12.568337,København
439,Thott 1753 4to,Source,55.675,12.5687,Copenhagen
